"id","date_insert","year","month","day","hour","sensor_id","lat","lng","wtempV_°C","conductivity_of_solution_ mS_cm","oxidation_reduction_potential_ mV","total_suspended_solids_mg_L","turbidity_NTU","dissolved_oxygen_concentration _ppm","dissolved_oxygen_concentration_mg_L","oxygen_saturation_%","salinity_ppt","dissolved_solids _ppm"
78,"2025-07-03 23:00:00",2025,7,3,23,979,"38.317789","21.818416",24.04,59853.65,278.12,811.08,470.83,6.06,6.06,72.12,40.45,39030.57
79,"2025-07-03 23:00:00",2025,7,3,23,980,"38.30971","21.779349",23.08,62088.86,91.07,101.65,65.80,4.45,4.45,51.79,42.28,40488.14
80,"2025-07-03 23:00:00",2025,7,3,23,981,"38.292904","21.766819",21.46,55760.97,296.62,4.51,0.00,5.17,5.17,58.34,37.14,36361.73
81,"2025-07-03 23:00:00",2025,7,3,23,982,"38.28469","21.759148",22.94,14608.85,286.01,1267.54,554.88,2.82,2.82,32.80,8.47,8446.84
82,"2025-07-03 23:00:00",2025,7,3,23,983,"38.282368","21.754868",23.13,17136.33,285.97,30.65,17.79,9.32,9.32,108.92,10.07,9908.22
83,"2025-07-03 23:00:00",2025,7,3,23,984,"38.183667","21.678139",23.26,52855.71,306.11,43.86,27.03,7.28,7.28,85.35,34.85,34467.21
84,"2025-07-04 00:00:00",2025,7,4,0,976,"38.310409","21.784038",24.12,56996.83,-177.35,190.24,98.30,7.63,7.63,90.88,38.13,37167.63
85,"2025-07-04 00:00:00",2025,7,4,0,977,"38.328212","21.876467",24.17,55424.07,-168.35,142.06,89.24,6.55,6.55,78.02,36.87,36142.04
86,"2025-07-04 00:00:00",2025,7,4,0,978,"38.331904","21.842924",23.38,56405.54,-58.46,38.50,19.01,7.20,7.20,84.54,37.65,36782.05
87,"2025-07-04 00:00:00",2025,7,4,0,979,"38.317789","21.818416",23.96,59736.56,278.75,822.41,477.82,6.14,6.14,73.08,40.35,38954.21
88,"2025-07-04 00:00:00",2025,7,4,0,980,"38.30971","21.779349",22.63,62103.05,92.99,101.97,65.70,4.60,4.60,52.99,42.29,40497.40
89,"2025-07-04 00:00:00",2025,7,4,0,981,"38.292904","21.766819",21.22,51336.09,299.74,3.96,0.00,4.84,4.84,54.44,33.72,33476.27
90,"2025-07-04 00:00:00",2025,7,4,0,982,"38.28469","21.759148",22.51,54123.84,290.21,1298.82,590.00,2.21,2.21,25.58,35.84,35294.16
91,"2025-07-04 00:00:00",2025,7,4,0,983,"38.282368","21.754868",22.98,17533.24,288.91,31.90,16.01,8.71,8.71,101.42,10.33,10137.72
92,"2025-07-04 00:00:00",2025,7,4,0,984,"38.183667","21.678139",22.78,52913.68,308.15,43.06,26.06,7.14,7.14,82.77,34.89,34505.01
93,"2025-07-04 01:00:00",2025,7,4,1,976,"38.310409","21.784038",23.92,56991.82,-176.60,50.17,44.75,7.60,7.60,90.46,38.13,37164.37
94,"2025-07-04 01:00:00",2025,7,4,1,977,"38.328212","21.876467",24.52,55863.11,-169.43,136.04,89.20,6.62,6.62,79.33,37.22,36428.34
95,"2025-07-04 01:00:00",2025,7,4,1,978,"38.331904","21.842924",23.42,56553.45,-54.76,38.79,19.03,7.69,7.69,90.39,37.77,36878.51
96,"2025-07-04 01:00:00",2025,7,4,1,979,"38.317789","21.818416",23.85,59434.11,278.36,839.48,488.29,6.02,6.02,71.46,40.10,38756.98
97,"2025-07-04 01:00:00",2025,7,4,1,980,"38.30971","21.779349",22.41,62036.74,93.30,103.01,65.63,4.63,4.63,53.26,42.24,40454.16
98,"2025-07-04 01:00:00",2025,7,4,1,981,"38.292904","21.766819",21.37,60139.12,300.03,4.22,0.01,5.08,5.08,56.80,40.68,39216.72
99,"2025-07-04 01:00:00",2025,7,4,1,982,"38.28469","21.759148",22.65,54574.36,290.67,1202.88,1463.04,1.34,1.34,15.49,36.19,35587.94
100,"2025-07-04 01:00:00",2025,7,4,1,983,"38.282368","21.754868",22.89,18651.50,289.91,32.94,18.71,8.12,8.12,94.40,11.04,10784.30
101,"2025-07-04 01:00:00",2025,7,4,1,984,"38.183667","21.678139",22.52,52914.31,310.91,44.33,26.20,7.02,7.02,80.80,34.89,34505.42
102,"2025-07-04 02:00:00",2025,7,4,2,976,"38.310409","21.784038",23.90,57041.27,-176.28,41.91,27.67,7.62,7.62,90.65,38.17,37196.61
103,"2025-07-04 02:00:00",2025,7,4,2,977,"38.328212","21.876467",24.89,55763.09,-167.80,150.81,99.42,6.60,6.60,79.74,37.14,36363.11
104,"2025-07-04 02:00:00",2025,7,4,2,978,"38.331904","21.842924",23.43,56530.22,-55.70,40.16,19.96,7.64,7.64,89.92,37.75,36863.36
105,"2025-07-04 02:00:00",2025,7,4,2,979,"38.317789","21.818416",23.64,59516.91,277.20,853.58,496.08,5.96,5.96,70.30,40.17,38810.98
106,"2025-07-04 02:00:00",2025,7,4,2,980,"38.30971","21.779349",22.32,62093.91,93.47,101.88,62.25,4.60,4.60,52.82,42.29,40491.44
107,"2025-07-04 02:00:00",2025,7,4,2,981,"38.292904","21.766819",21.34,61258.78,300.69,4.73,0.04,5.24,5.24,58.68,41.60,39946.85
108,"2025-07-04 02:00:00",2025,7,4,2,982,"38.28469","21.759148",22.55,17182.17,290.76,1370.36,1769.43,0.41,0.41,4.73,10.10,9934.73
109,"2025-07-04 02:00:00",2025,7,4,2,983,"38.282368","21.754868",22.65,18474.30,293.73,51.69,22.88,7.86,7.86,90.92,10.93,10681.84
110,"2025-07-04 02:00:00",2025,7,4,2,984,"38.183667","21.678139",22.43,52892.55,307.67,45.93,27.24,6.68,6.68,76.51,34.87,34491.23
111,"2025-07-04 03:00:00",2025,7,4,3,976,"38.310409","21.784038",23.79,56967.32,-175.54,37.90,35.55,7.70,7.70,91.36,38.11,37148.39
112,"2025-07-04 03:00:00",2025,7,4,3,977,"38.328212","21.876467",24.90,55928.78,-167.46,168.72,100.35,6.62,6.62,79.89,37.27,36471.16
113,"2025-07-04 03:00:00",2025,7,4,3,978,"38.331904","21.842924",23.42,56525.01,-57.52,41.39,21.00,7.49,7.49,88.06,37.75,36859.96
114,"2025-07-04 03:00:00",2025,7,4,3,979,"38.317789","21.818416",23.49,59454.87,277.24,869.39,505.93,5.94,5.94,69.88,40.12,38770.52
115,"2025-07-04 03:00:00",2025,7,4,3,980,"38.30971","21.779349",22.48,62064.79,93.65,102.97,62.56,4.56,4.56,52.48,42.26,40472.45
116,"2025-07-04 03:00:00",2025,7,4,3,981,"38.292904","21.766819",21.41,73561.07,301.86,4.31,0.00,5.16,5.16,58.07,51.99,47969.18
117,"2025-07-04 03:00:00",2025,7,4,3,982,"38.28469","21.759148",22.53,12357.70,286.11,1326.10,440.03,3.21,3.21,37.12,7.07,7145.22
118,"2025-07-04 03:00:00",2025,7,4,3,983,"38.282368","21.754868",22.52,19126.11,297.81,52.99,23.39,7.52,7.52,86.79,11.35,11058.72
119,"2025-07-04 03:00:00",2025,7,4,3,984,"38.183667","21.678139",22.10,52942.95,307.99,50.52,26.71,6.53,6.53,74.52,34.91,34524.10
120,"2025-07-04 04:00:00",2025,7,4,4,976,"38.310409","21.784038",23.80,56830.98,-173.95,37.23,57.96,7.82,7.82,92.84,38.00,37059.48
121,"2025-07-04 04:00:00",2025,7,4,4,977,"38.328212","21.876467",24.73,55763.51,-167.55,153.60,93.22,6.62,6.62,79.67,37.14,36363.39
122,"2025-07-04 04:00:00",2025,7,4,4,978,"38.331904","21.842924",23.35,56448.89,-59.14,42.64,21.85,7.34,7.34,86.19,37.69,36810.32
123,"2025-07-04 04:00:00",2025,7,4,4,979,"38.317789","21.818416",23.41,58764.49,277.10,881.44,511.20,5.99,5.99,70.38,39.56,38320.33
124,"2025-07-04 04:00:00",2025,7,4,4,980,"38.30971","21.779349",22.26,62045.64,95.03,101.17,62.56,4.55,4.55,52.11,42.25,40459.96
125,"2025-07-04 04:00:00",2025,7,4,4,981,"38.292904","21.766819",21.32,59998.53,303.68,4.09,0.00,5.18,5.18,58.36,40.56,39125.04
126,"2025-07-04 04:00:00",2025,7,4,4,982,"38.28469","21.759148",22.29,13706.40,284.88,1405.59,1340.66,5.39,5.39,61.56,7.91,7925.04
127,"2025-07-04 04:00:00",2025,7,4,4,983,"38.282368","21.754868",22.37,20841.18,300.73,68.43,90.31,7.31,7.31,84.10,12.46,12050.37
128,"2025-07-04 04:00:00",2025,7,4,4,984,"38.183667","21.678139",21.96,52935.66,307.29,51.51,28.51,6.64,6.64,75.41,34.90,34519.34
129,"2025-07-04 05:00:00",2025,7,4,5,976,"38.310409","21.784038",23.80,56973.43,-175.20,218.50,54.04,7.86,7.86,93.38,38.11,37152.38
130,"2025-07-04 05:00:00",2025,7,4,5,977,"38.328212","21.876467",24.71,55751.80,-168.23,154.98,99.87,6.42,6.42,77.25,37.13,36355.75
131,"2025-07-04 05:00:00",2025,7,4,5,978,"38.331904","21.842924",23.35,56410.59,-62.68,43.70,22.46,6.99,6.99,82.16,37.66,36785.34
132,"2025-07-04 05:00:00",2025,7,4,5,979,"38.317789","21.818416",23.44,59173.86,278.50,885.06,511.16,6.06,6.06,71.27,39.89,38587.27
133,"2025-07-04 05:00:00",2025,7,4,5,980,"38.30971","21.779349",22.13,62028.30,96.56,102.21,63.53,4.61,4.61,52.62,42.23,40448.66
134,"2025-07-04 05:00:00",2025,7,4,5,981,"38.292904","21.766819",21.33,61811.95,305.48,5.36,0.00,5.20,5.20,58.49,42.05,40307.57
135,"2025-07-04 05:00:00",2025,7,4,5,982,"38.28469","21.759148",21.54,15624.28,301.61,1489.00,1244.68,6.24,6.24,70.13,9.11,9033.96
136,"2025-07-04 05:00:00",2025,7,4,5,983,"38.282368","21.754868",22.18,19374.22,303.22,70.25,24.57,7.21,7.21,82.61,11.51,11202.17
137,"2025-07-04 05:00:00",2025,7,4,5,984,"38.183667","21.678139",21.95,52893.04,307.15,52.49,29.80,5.95,5.95,67.70,34.87,34491.55
138,"2025-07-04 06:00:00",2025,7,4,6,976,"38.310409","21.784038",23.77,57072.15,-175.37,83.08,45.66,7.85,7.85,93.10,38.19,37216.75
139,"2025-07-04 06:00:00",2025,7,4,6,977,"38.328212","21.876467",24.87,55846.96,-165.02,163.08,103.75,6.74,6.74,81.38,37.21,36417.81
140,"2025-07-04 06:00:00",2025,7,4,6,978,"38.331904","21.842924",23.33,56405.23,-54.33,44.89,23.41,7.37,7.37,86.45,37.65,36781.85
141,"2025-07-04 06:00:00",2025,7,4,6,979,"38.317789","21.818416",23.43,58883.05,277.32,880.68,508.49,6.26,6.26,73.66,39.65,38397.64
142,"2025-07-04 06:00:00",2025,7,4,6,980,"38.30971","21.779349",22.47,62171.00,96.42,103.36,65.17,4.55,4.55,52.32,42.35,40541.71
143,"2025-07-04 06:00:00",2025,7,4,6,981,"38.292904","21.766819",21.11,61804.19,306.23,3.76,0.00,5.43,5.43,60.54,42.05,40302.52
144,"2025-07-04 06:00:00",2025,7,4,6,982,"38.28469","21.759148",21.34,15604.85,313.89,1615.79,1211.51,6.16,6.16,69.13,9.10,9022.72
145,"2025-07-04 06:00:00",2025,7,4,6,983,"38.282368","21.754868",22.01,21867.62,303.99,67.07,27.33,7.17,7.17,81.82,13.13,14259.88
146,"2025-07-04 06:00:00",2025,7,4,6,984,"38.183667","21.678139",22.00,52925.74,306.64,52.85,29.94,6.72,6.72,76.63,34.90,34512.88
